unique_id,model,ME,MAE,RMSE,MAPE
hotel_0,NHITS,-0.019826620819812544,0.13273363267145458,0.17708495259788382,21.73812216655585
hotel_0,LGBMRegressor,-0.03119271874202754,0.13747065034145714,0.18285484836459812,23.767350371070943
hotel_0,NBEATS,-0.048567862172711286,0.14141306911563958,0.1932288498382948,23.54905514928003
hotel_0,AutoARIMA,-0.052846699823221224,0.1641517507477181,0.20905987966028977,28.300752470015734
hotel_0,AutoETS,0.007384046380317481,0.18431418789291926,0.22351498912209397,29.7295999738063
hotel_0,Naive,-0.08201058201058198,0.1947089947089947,0.25243388153318447,34.10903217219256
hotel_0,SeasonalNaive,-0.029805996472663132,0.21428571428571427,0.26715531035209855,35.41912145633045
hotel_105,AutoARIMA,0.0609425398616936,0.09839356374131109,0.11854048685128268,11.705827328784528
hotel_105,AutoETS,0.06242746666528178,0.10214192290978036,0.13228982083343696,11.932141359835342
hotel_105,LGBMRegressor,0.06074901357037802,0.10315244885114,0.13219593847095015,12.115666540651219
hotel_105,SeasonalNaive,0.07385444743935311,0.10530098831985625,0.13887026835007862,12.210771709853843
hotel_105,NHITS,0.07712430641229157,0.1067542718212988,0.13296846648706215,12.301575042309025
hotel_105,NBEATS,0.0766022489130872,0.10714692764740642,0.13646985411440854,12.277635144080602
hotel_105,Naive,-0.05318957771787961,0.12003593890386341,0.15947546913060318,16.684634338392627
hotel_112,NHITS,-0.03156820041792732,0.08945156403950283,0.10832239839154309,11.08600616049346
hotel_112,AutoARIMA,0.0158558243206546,0.09066279331543799,0.10704325074896467,10.677083870654863
hotel_112,NBEATS,-0.0010372538225991315,0.09590973802975246,0.11366426033237484,11.48230551348875
hotel_112,LGBMRegressor,0.03767530811543755,0.10415524687612449,0.12496569912378819,12.15167632617741
hotel_112,AutoETS,0.0366965336304817,0.10576777422269999,0.1264743447524021,12.247717554135953
hotel_112,SeasonalNaive,0.01642857142857144,0.11357142857142857,0.1399158707683197,13.375194366081617
hotel_112,Naive,0.06464285714285713,0.14125,0.16938537791084565,16.2639749521374
hotel_126,Naive,-0.009561752988047798,0.03551508252703471,0.06472987075914946,4.16605299427268
hotel_126,NHITS,0.013068973217488157,0.04311339802950977,0.06807559751930775,4.722162041963551
hotel_126,AutoARIMA,0.003115489345428144,0.0460286510420306,0.06672430126737541,5.1166768490911085
hotel_126,SeasonalNaive,0.000455321570859423,0.046215139442231074,0.08818715360888009,5.3136533010374425
hotel_126,NBEATS,0.01832454975993375,0.04719184065787848,0.07118806971320674,5.134554254660287
hotel_126,AutoETS,0.03734164693475655,0.061687988900823144,0.08015850720948862,6.609077160206465
