index_x,unique_id,ds,Naive,SeasonalNaive,AutoARIMA,AutoETS,index_y,LGBMRegressor,index,NBEATS,NHITS
0,hotel_0,2023-06-03,0.691358024691358,0.9753086419753086,0.7688887033530285,0.6651701798416771,0,0.8020906114865893,0,0.816857,0.840888
1,hotel_0,2023-06-04,0.691358024691358,0.8888888888888888,0.6528064874298182,0.44619812577350415,1,0.5978720370027724,1,0.55666727,0.55161494
2,hotel_0,2023-06-05,0.691358024691358,0.2716049382716049,0.46871383987447274,0.4630176387175448,2,0.6067472101804673,2,0.6119751,0.5654366
3,hotel_0,2023-06-06,0.691358024691358,0.2962962962962963,0.5235681551297304,0.4974787656284047,3,0.6211930585487312,3,0.7251827,0.63020515
4,hotel_0,2023-06-07,0.691358024691358,0.3950617283950617,0.5867090204520703,0.49463782357505137,4,0.629974377059113,4,0.7181617,0.6890196
5,hotel_0,2023-06-08,0.691358024691358,0.43209876543209874,0.5946266564359065,0.5302349726523373,5,0.6053068183645101,5,0.73139185,0.7008584
6,hotel_0,2023-06-09,0.691358024691358,0.691358024691358,0.7015150822233158,0.6383032223681587,6,0.7187493264753898,6,0.8321651,0.8379189
7,hotel_0,2023-06-10,0.691358024691358,0.9753086419753086,0.7517429893606264,0.6651701798416771,7,0.8526846322780889,7,0.9340155,0.909332
8,hotel_0,2023-06-11,0.691358024691358,0.8888888888888888,0.6969647198000811,0.44619812577350415,8,0.6016985896890718,8,0.5938987,0.5942474
9,hotel_0,2023-06-12,0.691358024691358,0.2716049382716049,0.5135811808860375,0.4630176387175448,9,0.6503606089222753,9,0.6604051,0.56024635
10,hotel_0,2023-06-13,0.691358024691358,0.2962962962962963,0.5363973453767802,0.4974787656284047,10,0.655156125595163,10,0.7841017,0.66261363
11,hotel_0,2023-06-14,0.691358024691358,0.3950617283950617,0.576728524954384,0.49463782357505137,11,0.6823721022962869,11,0.8096816,0.70011955
12,hotel_0,2023-06-15,0.691358024691358,0.43209876543209874,0.5867528565400807,0.5302349726523373,12,0.6664841858577167,12,0.8380493,0.72719085
13,hotel_0,2023-06-16,0.691358024691358,0.691358024691358,0.6734318642200213,0.6383032223681587,13,0.7356160601783459,13,0.92836905,0.84433407
14,hotel_0,2023-06-17,0.691358024691358,0.9753086419753086,0.7052810634838342,0.6651701798416771,14,0.8111258993305988,14,0.9788566,0.92523944
15,hotel_0,2023-06-18,0.691358024691358,0.8888888888888888,0.6642413574670256,0.44619812577350415,15,0.5872812718635183,15,0.62101233,0.5941675
16,hotel_0,2023-06-19,0.691358024691358,0.2716049382716049,0.5678529140201954,0.4630176387175448,16,0.5522210815129045,16,0.6207221,0.5813819
17,hotel_0,2023-06-20,0.691358024691358,0.2962962962962963,0.5862563907388308,0.4974787656284047,17,0.6425733994613018,17,0.7351655,0.64932525
18,hotel_0,2023-06-21,0.691358024691358,0.3950617283950617,0.6120008861101389,0.49463782357505137,18,0.6834464921789255,18,0.7531461,0.6841136
19,hotel_0,2023-06-22,0.691358024691358,0.43209876543209874,0.6168406370674555,0.5302349726523373,19,0.6821019349376211,19,0.82171273,0.71053857
20,hotel_0,2023-06-23,0.691358024691358,0.691358024691358,0.6663886721539208,0.6383032223681587,20,0.7540052575572911,20,0.92070186,0.820412
21,hotel_0,2023-06-24,0.691358024691358,0.9753086419753086,0.6867914627963332,0.6651701798416771,21,0.8430591801294117,21,0.9839527,0.91152054
22,hotel_0,2023-06-25,0.691358024691358,0.8888888888888888,0.6624961883847065,0.44619812577350415,22,0.6186007683762745,22,0.634553,0.5929041
23,hotel_0,2023-06-26,0.691358024691358,0.2716049382716049,0.5944578609017889,0.4630176387175448,23,0.6033026444876056,23,0.64349395,0.5666779
24,hotel_0,2023-06-27,0.691358024691358,0.2962962962962963,0.6050021829685697,0.4974787656284047,24,0.6491816754506832,24,0.7753635,0.6336885
25,hotel_0,2023-06-28,0.691358024691358,0.3950617283950617,0.6214400199010698,0.49463782357505137,25,0.690004830918753,25,0.8049428,0.6910623
26,hotel_0,2023-06-29,0.691358024691358,0.43209876543209874,0.6250200810766658,0.5302349726523373,26,0.6845134520827039,26,0.7631139,0.6815788
