model,ME,MAE,RMSE,MAPE
NHITS,0.008948866390999736,0.10349721973235027,0.13650371331948474,21.72696039982712
LGBMRegressor,0.007471631178611419,0.10677606229884061,0.13686949407961105,25.70762173640962
NBEATS,0.005516449263248772,0.1072209383980024,0.140407823016236,22.352119190029782
AutoARIMA,0.020832391789130558,0.10911643944205157,0.13886891036676383,24.636253852835402
AutoETS,0.028670429562940167,0.11607954158933212,0.14677390306863702,24.491536385198504
SeasonalNaive,0.01700984374728055,0.12810232997364285,0.16951299848732101,28.117464057668048
Naive,-0.020806170792972836,0.12848025605594293,0.16899154334317879,31.05060827123929
